Team,Number,Seed
Abilene Christian,1,15
Arizona State,2,11
Auburn,3,5
Baylor,4,9
Belmont,5,11
Bradley,6,15
Buffalo,7,6
Cincinnati,8,7
Colgate,9,15
Duke,10,1
Fairleigh Dickinson,11,16
Florida,12,10
Florida State,13,4
Gardner-Webb,14,16
Georgia State,15,14
Gonzaga,16,1
Houston,17,3
Iona,18,16
Iowa,19,10
Iowa State,20,6
Kansas,21,4
Kansas State,22,4
Kentucky,23,2
LSU,24,3
Liberty,25,12
Louisville,26,7
Marquette,27,5
Maryland,28,6
Michigan,29,2
Michigan State,30,2
Minnesota,31,10
Mississippi State,32,5
Montana,33,15
Murray State,34,12
North Carolina Central,35,16
Nevada,36,7
New Mexico State,37,12
North Carolina,38,1
North Dakota State,39,16
Northeastern,40,13
Northern Kentucky,41,14
Ohio State,42,11
Oklahoma,43,9
Old Dominion,44,14
Ole Miss,45,8
Oregon,46,12
Prairie View A&M,47,16
Purdue,48,3
Saint Louis,49,13
Saint Mary's,50,11
Seton Hall,51,10
St. John's,52,11
Syracuse,53,8
Temple,54,11
Tennessee,55,2
Texas Tech,56,3
UC Irvine,57,13
UCF,58,9
Utah State,59,8
VCU,60,8
Vermont,61,13
Villanova,62,6
Virginia,63,1
Virginia Tech,64,4
Washington,65,9
Wisconsin,66,5
Wofford,67,7
Yale,68,14
