,DougD,DavidT,BeckettB,EdL,LizN,SeanF,BPL,DanL,JohnC,LaurieS,KurtF,BradS,BuckB,MattC,DeeC,KenS,AlexT,MaryAnnB,FOL,ChuckC,FuzzH,KristinS,TomB,ScottF,NancyS,MikeB,JonB,PeterK,AdamC,WillM,DerekH,JaclynM,ChrisF,SamC,JohnM,OwenL,HaynesR,JayV,JulieG,EdM,MattD,SarahB,SigN,JKL,LauraR,RolandM,KarlS,JohnJ,Rocket,JoeW
Abil Christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,x,x,,,x,x,x,x,x,x,x,,x,x,x,,,,x,x,x,x,,x,,,,x,x,,,,x,x,x,x,x,x,x,x,,,,,,,,,,
Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,x,
Belmont,,,,,,,,,x,x,,,,,,x,x,,,,,,,,,,,,,,,,,,,x,,,,,,x,x,x,,x,,x,,
Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buffalo,,,x,,,,,,,,x,,x,,,,x,,,,,,,,x,,x,,x,,,x,,,,,x,,,,,,,,,x,,x,,
Cincinnati,,,,,,,,,,,,,,,,,,,,x,,x,,x,x,,,,,,,,,,,,,,x,x,,,,,,,,,,x
Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,
Fairleigh Dickinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florida,,,,,,,,,x,,,,,,x,,,,x,x,,,,x,,,,,,x,,,,,,,x,x,,,x,,,x,,x,x,,,
Florida St,x,,x,,x,x,,,,x,x,,,,,,,,,x,x,,x,,,,,,x,,x,,x,,,,x,,,x,,,,,,x,x,x,,x
Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonzaga,x,x,,x,,,,,x,,,,,x,x,x,,,,,,,,,x,,x,,,,,,,x,,,,,,,,x,x,x,,,,,x,
Houston,,,,,x,,,,,,x,x,x,,,,,,,,,x,,,,,,,,,x,,,,,,,x,x,x,,,,,,,,,,
Iona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa State,,x,,,,,x,x,,,,,,x,,x,x,,,,,,,,,,,x,x,x,,x,x,x,x,,x,,,,x,x,,,x,x,,,x,x
Kansas,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,x
Kansas State,,,,,,,,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,x,,x,,x,,x,,,,,,,x,x,
Kentucky,x,x,x,x,,x,x,,,,,,,,,,,x,x,,,,,x,x,x,,x,,,,,x,,,x,,,,,,,x,,,,,,,
LSU,,,,,,,,,,,x,,,,,,,,x,,,,,,,,,,,,x,,,,,,x,,,x,,,,,,,,,,
